date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:53	45954/45954	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2010:02:53%20GMT	https://shop.gosoftware.store/index.php	C:/My%20Web%20Sites/NORTON%20SAFE%20PAGE%20BEST%20LOOK%20EVER%20SIMPLE/shop.gosoftware.store/index.html	(from )
15:32:54	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-10626b47ed07ca5e;gz%22	https://shop.gosoftware.store/robots.txt		(from )
15:32:54	155631/155631	---M-Z	200	added ('OK')	text/css	etag:%2225fef-67121368-a82b5272b257e86;gz%22	https://shop.gosoftware.store/css/bootstrap.min.css	C:/My%20Web%20Sites/NORTON%20SAFE%20PAGE%20BEST%20LOOK%20EVER%20SIMPLE/shop.gosoftware.store/css/bootstrap.min.css	(from https://shop.gosoftware.store/index.php)
15:32:54	65698/65698	---M-Z	200	added ('OK')	text/css	etag:%22100a2-67121368-db87e9deeb048106;gz%22	https://shop.gosoftware.store/css/bootstrap-icons.css	C:/My%20Web%20Sites/NORTON%20SAFE%20PAGE%20BEST%20LOOK%20EVER%20SIMPLE/shop.gosoftware.store/css/bootstrap-icons.css	(from https://shop.gosoftware.store/index.php)
15:32:55	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-67121368-eca87f6e8b0118c5;gz%22	https://shop.gosoftware.store/css/slick.css	C:/My%20Web%20Sites/NORTON%20SAFE%20PAGE%20BEST%20LOOK%20EVER%20SIMPLE/shop.gosoftware.store/css/slick.css	(from https://shop.gosoftware.store/index.php)
15:32:55	22025/22025	---M-Z	200	added ('OK')	text/css	etag:%225609-67121368-b09a51b2706a86a8;gz%22	https://shop.gosoftware.store/css/tooplate-little-fashion.css	C:/My%20Web%20Sites/NORTON%20SAFE%20PAGE%20BEST%20LOOK%20EVER%20SIMPLE/shop.gosoftware.store/css/tooplate-little-fashion.css	(from https://shop.gosoftware.store/index.php)
15:32:55	27019/27019	---M--	200	added ('OK')	image/png	etag:%22698b-6712136b-5db304607daa75b9;;;%22	https://shop.gosoftware.store/images/logo.png	C:/My%20Web%20Sites/NORTON%20SAFE%20PAGE%20BEST%20LOOK%20EVER%20SIMPLE/shop.gosoftware.store/images/logo.png	(from https://shop.gosoftware.store/index.php)
15:32:55	8057/8057	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2010:02:55%20GMT	https://shop.gosoftware.store/sign-in.php	C:/My%20Web%20Sites/NORTON%20SAFE%20PAGE%20BEST%20LOOK%20EVER%20SIMPLE/shop.gosoftware.store/sign-in.html	(from https://shop.gosoftware.store/index.php)
15:32:56	41326/41326	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2010:02:56%20GMT	https://shop.gosoftware.store/product-detail.php	C:/My%20Web%20Sites/NORTON%20SAFE%20PAGE%20BEST%20LOOK%20EVER%20SIMPLE/shop.gosoftware.store/product-detail.html	(from https://shop.gosoftware.store/index.php)
15:32:56	10306/10306	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2010:02:56%20GMT	https://shop.gosoftware.store/about.php	C:/My%20Web%20Sites/NORTON%20SAFE%20PAGE%20BEST%20LOOK%20EVER%20SIMPLE/shop.gosoftware.store/about.html	(from https://shop.gosoftware.store/index.php)
15:32:56	37530/37530	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2010:02:56%20GMT	https://shop.gosoftware.store/shop.php	C:/My%20Web%20Sites/NORTON%20SAFE%20PAGE%20BEST%20LOOK%20EVER%20SIMPLE/shop.gosoftware.store/shop.html	(from https://shop.gosoftware.store/index.php)
